periods,weights,selected_periods
5,6.268019782798674,true
8,12.701999321225758,true
16,4.798281548423262,true
28,2.583538893354543,true
31,4.316176139664062,true
38,2.4714282612837954,true
41,3.248423120579436,true
42,4.619331189379304,true
45,3.1328645632742154,true
51,3.5975505401232795,true
53,6.200874163316696,true
54,2.100683525326325,true
57,2.978270208820893,true
71,1.8925355797328984,true
72,8.150311970815896,true
75,2.2643208761348994,true
79,5.481093462650577,true
81,5.476622659721285,true
95,4.849507261229776,true
96,2.6164155662200557,true
104,3.9794065270939694,true
115,2.123583264253197,true
124,5.729100561426749,true
125,1.4480992301556315,true
127,11.61682729054675,true
129,11.675140467240967,true
131,6.1672188445684615,true
136,1.9751723691582665,true
139,3.7601546271680304,true
141,4.334956757238473,true
143,1.6253893122497742,true
145,2.773373900554894,true
152,4.802957684389258,true
157,1.5170831663362265,true
167,4.060813538138353,true
170,1.77226575486152,true
174,8.237754412307211,true
177,4.009880051171119,true
180,4.6549565570914035,true
182,1.5204255012482557,true
184,2.446771292177174,true
185,2.6494628974211776,true
195,3.9307719895188793,true
200,3.6679771461336337,true
201,2.2941354006751498,true
203,1.6671015731128205,true
205,1.9032113710978682,true
216,5.396207942949634,true
217,4.128681631174312,true
221,2.884684687209212,true
225,3.127743307482479,true
228,2.6479827083608782,true
240,1.527774191849927,true
241,1.7949385212260633,true
242,1.3062747189796573,true
243,4.076317243182841,true
247,4.25653612637542,true
255,2.327973633480042,true
257,4.72697653059494,true
260,3.8228230456907526,true
263,5.370235239025931,true
265,6.864559725336793,true
277,3.80226465357241,true
286,4.463898535580948,true
291,16.582418624763484,true
294,1.5670240555782455,true
301,2.042132548603904,true
304,1.9916783128994069,true
307,1.9343074911775544,true
309,6.363661869853816,true
314,3.2515403539544434,true
317,2.553219120424026,true
320,3.4498868971336356,true
321,8.061543541228504,true
323,3.3069781119572266,true
325,3.879095029945662,true
329,1.1478682164964609,true
331,3.187224167954407,true
338,3.1393655155522073,true
343,5.944340943711123,true
344,4.1400384591259884,true
346,5.8518523586889275,true
348,7.099840246280754,true
352,2.3072768373623482,true
353,7.18635259960036,true
359,4.033689042268109,true
362,2.4578944323386436,true
364,4.90265865961733,true
